Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20
A13,0.11764705882352941,A31,A43,0.008748761967646087,A64,A73,0.6666666666666666,A92,A101,0.6666666666666666,A121,0.4107142857142857,A143,A151,0.3333333333333333,A173,0.0,A191,A201
A12,0.04411764705882353,A32,A43,0.11912622427643887,A61,A73,0.6666666666666666,A93,A103,0.3333333333333333,A121,0.26785714285714285,A143,A152,0.0,A173,0.0,A191,A201
A11,0.8235294117647058,A33,A49,0.36238582590513924,A61,A75,0.6666666666666666,A93,A101,1.0,A124,0.7857142857142857,A143,A152,0.3333333333333333,A173,0.0,A192,A201
A12,0.20588235294117646,A32,A49,0.09150434686915374,A64,A72,0.6666666666666666,A94,A101,0.6666666666666666,A121,0.30357142857142855,A141,A152,0.0,A173,0.0,A192,A201
A11,0.29411764705882354,A32,A42,0.20743919885550788,A61,A73,0.3333333333333333,A93,A101,0.3333333333333333,A123,0.14285714285714285,A142,A152,0.0,A173,0.0,A191,A201
A12,0.20588235294117646,A32,A40,0.3090128755364807,A62,A73,0.3333333333333333,A93,A101,0.3333333333333333,A123,0.19642857142857142,A143,A152,0.3333333333333333,A173,0.0,A192,A201
A14,0.11764705882352941,A34,A49,0.055793991416309016,A65,A75,1.0,A93,A101,1.0,A124,0.6785714285714286,A143,A151,0.0,A172,0.0,A191,A201
A13,0.11764705882352941,A32,A42,0.06734896005282272,A61,A72,1.0,A92,A101,0.0,A122,0.25,A141,A152,0.0,A174,0.0,A192,A201
A12,0.6029411764705882,A34,A43,0.24738637614174094,A61,A72,1.0,A93,A101,0.3333333333333333,A122,0.10714285714285714,A143,A152,0.3333333333333333,A172,0.0,A191,A201
A14,0.6470588235294118,A34,A46,0.32243864861890614,A61,A73,0.0,A93,A101,0.6666666666666666,A124,0.21428571428571427,A141,A153,0.0,A173,0.0,A192,A201
A13,0.20588235294117646,A32,A43,0.10179377132166832,A61,A73,1.0,A93,A102,0.3333333333333333,A121,0.32142857142857145,A142,A152,0.0,A173,0.0,A191,A201
A13,0.08823529411764706,A32,A44,0.0536480686695279,A61,A73,0.3333333333333333,A93,A101,0.3333333333333333,A123,0.32142857142857145,A143,A152,0.0,A173,0.0,A192,A201
A12,0.07352941176470588,A32,A43,0.011444921316165951,A61,A73,1.0,A93,A101,0.6666666666666666,A121,0.08928571428571429,A143,A152,0.0,A173,0.0,A191,A201
A14,0.38235294117647056,A32,A43,0.11461428414218114,A63,A75,1.0,A93,A101,0.3333333333333333,A123,0.19642857142857142,A141,A152,0.0,A174,0.0,A191,A201
A12,0.11764705882352941,A32,A43,0.04996148343787829,A63,A73,0.6666666666666666,A91,A101,0.0,A123,0.125,A143,A152,0.0,A173,0.0,A192,A201
A12,0.20588235294117646,A33,A45,0.32761087267525035,A61,A73,0.3333333333333333,A93,A101,1.0,A121,0.44642857142857145,A143,A152,0.0,A172,1.0,A192,A201
A11,0.38235294117647056,A34,A41,0.3266754704522945,A62,A74,0.0,A94,A101,1.0,A123,0.08928571428571429,A143,A151,0.3333333333333333,A173,0.0,A191,A201
A11,0.6470588235294118,A34,A41,0.324254429404644,A61,A75,1.0,A92,A101,1.0,A124,0.6964285714285714,A142,A153,0.3333333333333333,A172,0.0,A191,A201
A14,0.10294117647058823,A34,A40,0.06289204357873886,A61,A72,1.0,A92,A101,1.0,A123,0.2857142857142857,A143,A152,0.3333333333333333,A174,0.0,A191,A201
A14,0.47058823529411764,A32,A43,0.1127434796962694,A63,A75,1.0,A93,A101,1.0,A123,0.35714285714285715,A143,A152,0.0,A173,0.0,A191,A201
A11,0.029411764705882353,A32,A41,0.06063607351160999,A63,A71,0.0,A92,A101,0.3333333333333333,A122,0.07142857142857142,A143,A151,0.0,A171,0.0,A192,A201
A14,0.10294117647058823,A34,A40,0.38395510069329813,A61,A73,0.0,A93,A101,1.0,A122,0.35714285714285715,A143,A152,0.3333333333333333,A172,0.0,A191,A201
A14,0.11764705882352941,A32,A43,0.10030813249697369,A62,A73,1.0,A92,A102,0.3333333333333333,A121,0.16071428571428573,A143,A152,0.0,A173,0.0,A191,A201
A12,0.29411764705882354,A33,A42,0.11461428414218114,A65,A72,1.0,A93,A101,0.3333333333333333,A122,0.17857142857142858,A141,A152,0.0,A172,0.0,A191,A201
A12,0.3382352941176471,A33,A41,0.31446021789369427,A61,A75,0.0,A93,A101,0.3333333333333333,A123,0.19642857142857142,A143,A152,0.3333333333333333,A174,0.0,A192,A201
A14,0.11764705882352941,A32,A43,0.055683944095961266,A61,A73,0.6666666666666666,A93,A101,0.3333333333333333,A123,0.10714285714285714,A143,A152,0.0,A173,0.0,A191,A201
A14,0.20588235294117646,A32,A41,0.17211400902388027,A65,A73,0.3333333333333333,A93,A101,0.0,A122,0.21428571428571427,A143,A152,0.0,A173,0.0,A192,A201
A12,0.47058823529411764,A33,A40,0.10867172884340266,A61,A75,1.0,A93,A101,1.0,A124,0.6785714285714286,A141,A153,0.3333333333333333,A173,0.0,A192,A201
A14,0.029411764705882353,A31,A40,0.029327610872675252,A65,A73,0.0,A93,A103,0.3333333333333333,A121,0.125,A142,A152,0.0,A172,1.0,A191,A201
A12,0.11764705882352941,A32,A43,0.3421371189611533,A65,A71,0.3333333333333333,A93,A101,0.0,A124,0.5892857142857143,A143,A152,0.0,A174,0.0,A192,A201
A14,0.47058823529411764,A34,A43,0.5126004181798173,A61,A73,0.3333333333333333,A92,A101,0.3333333333333333,A123,0.21428571428571427,A142,A152,0.3333333333333333,A173,0.0,A191,A201
A13,0.20588235294117646,A32,A40,0.09414548255749973,A61,A75,0.6666666666666666,A92,A101,0.3333333333333333,A123,0.07142857142857142,A143,A152,0.0,A174,0.0,A191,A201
A11,0.47058823529411764,A34,A42,0.3289864641795972,A61,A72,1.0,A92,A102,1.0,A124,0.07142857142857142,A143,A151,0.3333333333333333,A172,0.0,A192,A201
A12,0.07352941176470588,A32,A49,0.0627819962583911,A61,A73,0.3333333333333333,A94,A101,0.0,A121,0.14285714285714285,A141,A152,0.0,A173,0.0,A192,A201
A12,0.16176470588235295,A34,A43,0.07081545064377683,A65,A75,1.0,A93,A103,1.0,A121,0.5535714285714286,A143,A152,0.3333333333333333,A173,0.0,A192,A201
A12,0.47058823529411764,A30,A49,0.09370529327610873,A61,A75,1.0,A93,A101,1.0,A124,0.75,A143,A153,0.0,A174,0.0,A192,A201
A12,0.6470588235294118,A30,A49,0.7797402883239793,A61,A73,0.3333333333333333,A93,A101,0.3333333333333333,A123,0.10714285714285714,A143,A152,0.0,A173,0.0,A192,A201
A14,0.29411764705882354,A32,A43,0.16127434796962695,A61,A72,1.0,A92,A101,1.0,A122,0.125,A143,A152,0.0,A173,0.0,A192,A201
A14,0.3382352941176471,A32,A45,0.2718168812589413,A65,A75,1.0,A93,A101,1.0,A122,0.5178571428571429,A143,A152,1.0,A173,1.0,A192,A201
A14,0.11764705882352941,A32,A43,0.10570045119401343,A61,A72,0.3333333333333333,A92,A101,0.3333333333333333,A123,0.17857142857142858,A141,A152,0.0,A173,0.0,A191,A201
A12,0.11764705882352941,A32,A40,0.041652910751623196,A64,A73,1.0,A94,A101,0.0,A121,0.05357142857142857,A143,A152,0.0,A173,0.0,A191,A201
A14,0.47058823529411764,A32,A46,0.08633212281280951,A61,A73,1.0,A93,A101,1.0,A124,0.32142857142857145,A142,A153,0.0,A173,0.0,A192,A201
A14,0.47058823529411764,A32,A43,0.1179707274127875,A65,A73,1.0,A92,A101,1.0,A123,0.10714285714285714,A143,A152,0.0,A173,0.0,A191,A201
A14,0.47058823529411764,A32,A41,0.4337515131506548,A61,A73,0.0,A92,A101,0.3333333333333333,A122,0.19642857142857142,A141,A152,0.0,A173,0.0,A191,A201
A14,0.04411764705882353,A34,A43,0.02641135688345989,A65,A75,1.0,A93,A101,0.3333333333333333,A122,0.48214285714285715,A143,A151,0.3333333333333333,A172,0.0,A192,A201
A11,0.058823529411764705,A34,A410,0.050291625398921534,A61,A75,0.6666666666666666,A93,A101,1.0,A124,0.5714285714285714,A141,A153,0.3333333333333333,A174,1.0,A192,A201
A12,0.5588235294117647,A34,A49,0.3138549576317817,A61,A74,0.3333333333333333,A92,A101,0.0,A121,0.39285714285714285,A141,A152,0.3333333333333333,A172,0.0,A191,A201
A11,0.47058823529411764,A32,A46,0.09502586112028172,A65,A75,1.0,A93,A101,1.0,A124,0.375,A143,A152,0.0,A174,0.0,A192,A201
A11,0.11764705882352941,A34,A41,0.0702101903818642,A61,A75,1.0,A93,A101,1.0,A124,0.8392857142857143,A143,A153,0.3333333333333333,A174,0.0,A191,A201
A11,0.5588235294117647,A32,A43,0.20441289754594474,A61,A72,1.0,A93,A101,0.6666666666666666,A123,0.26785714285714285,A143,A152,0.0,A173,0.0,A191,A201
A12,0.10294117647058823,A33,A43,0.24876196764608782,A61,A74,0.3333333333333333,A93,A101,1.0,A122,0.5714285714285714,A143,A152,0.0,A173,0.0,A191,A201
A14,0.7352941176470589,A30,A41,0.5054473423572136,A65,A73,0.3333333333333333,A93,A101,0.3333333333333333,A122,0.35714285714285715,A143,A152,0.0,A172,1.0,A191,A201
A12,0.38235294117647056,A32,A42,0.1970947507428194,A61,A72,0.3333333333333333,A94,A101,0.0,A122,0.05357142857142857,A143,A152,0.0,A173,0.0,A191,A201
A14,0.29411764705882354,A32,A43,0.313249697369869,A65,A72,0.0,A92,A101,0.0,A123,0.44642857142857145,A143,A152,0.3333333333333333,A173,0.0,A192,A201
A14,0.16176470588235295,A32,A43,0.0529877847474414,A63,A75,1.0,A93,A101,0.6666666666666666,A122,0.5,A142,A152,0.0,A173,0.0,A192,A201
A14,0.20588235294117646,A32,A49,0.07252118410916694,A62,A73,0.6666666666666666,A92,A101,1.0,A122,0.08928571428571429,A143,A151,0.0,A172,0.0,A191,A201
A11,0.29411764705882354,A32,A410,0.08281060856168153,A61,A75,1.0,A92,A103,1.0,A121,0.6964285714285714,A143,A152,0.0,A172,0.0,A192,A201
A11,0.08823529411764706,A32,A43,0.11362385825905139,A61,A75,0.6666666666666666,A93,A101,1.0,A121,0.5892857142857143,A143,A152,0.0,A172,0.0,A191,A201
A14,0.11764705882352941,A34,A49,0.06393749312204247,A61,A73,1.0,A92,A103,0.3333333333333333,A121,0.17857142857142858,A143,A152,0.3333333333333333,A174,0.0,A192,A201
A12,0.20588235294117646,A34,A42,0.05749972488169913,A61,A72,1.0,A92,A101,0.0,A122,0.14285714285714285,A143,A152,0.3333333333333333,A173,0.0,A191,A201
A12,0.47058823529411764,A32,A46,0.6802024870694399,A62,A73,0.0,A93,A101,1.0,A124,0.5,A143,A153,0.0,A173,1.0,A192,A201
A11,0.20588235294117646,A32,A40,0.10999229668757565,A62,A74,1.0,A93,A101,0.6666666666666666,A123,0.19642857142857142,A143,A152,0.0,A174,1.0,A192,A201
A11,0.11764705882352941,A30,A45,0.04721030042918455,A61,A74,1.0,A93,A101,0.6666666666666666,A121,0.16071428571428573,A143,A152,0.3333333333333333,A173,0.0,A191,A201
A14,0.11764705882352941,A34,A43,0.020248706943985915,A61,A75,1.0,A93,A101,1.0,A121,0.6607142857142857,A143,A152,0.0,A173,0.0,A191,A201
A11,0.11764705882352941,A34,A41,0.06377242214152086,A61,A75,1.0,A93,A101,0.6666666666666666,A121,0.625,A143,A152,0.0,A173,0.0,A191,A201
A14,0.11764705882352941,A34,A43,0.030097942115109497,A65,A75,1.0,A92,A101,0.6666666666666666,A122,0.25,A141,A152,0.0,A172,1.0,A191,A201
A13,0.29411764705882354,A34,A42,0.18526466380543632,A65,A75,1.0,A93,A102,1.0,A124,0.017857142857142856,A143,A151,0.3333333333333333,A173,0.0,A191,A201
A12,0.11764705882352941,A32,A40,0.05876526906569825,A64,A75,1.0,A93,A101,1.0,A121,0.625,A143,A152,0.0,A173,0.0,A192,A201
A12,0.7352941176470589,A30,A49,0.8635963464289644,A61,A72,0.6666666666666666,A93,A101,1.0,A124,0.6964285714285714,A143,A151,0.0,A173,0.0,A192,A201
A14,0.11764705882352941,A34,A46,0.09695168922636734,A65,A74,1.0,A92,A101,0.3333333333333333,A123,0.75,A143,A152,0.0,A173,0.0,A191,A201
A12,0.20588235294117646,A32,A49,0.13051612193243095,A62,A73,1.0,A93,A101,1.0,A123,0.26785714285714285,A143,A152,0.0,A173,0.0,A191,A201
A12,0.47058823529411764,A34,A43,0.11483437878287664,A61,A75,1.0,A93,A101,1.0,A121,0.30357142857142855,A143,A152,0.0,A173,0.0,A191,A201
A12,0.23529411764705882,A33,A41,0.3745460548035655,A65,A74,0.6666666666666666,A93,A101,1.0,A122,0.30357142857142855,A141,A151,0.3333333333333333,A174,1.0,A192,A201
A14,0.29411764705882354,A32,A40,0.06707384175195334,A62,A75,1.0,A94,A101,1.0,A121,0.39285714285714285,A143,A151,0.0,A172,0.0,A191,A201
A12,0.47058823529411764,A32,A43,0.11406404754044239,A61,A74,1.0,A93,A101,1.0,A123,0.08928571428571429,A143,A151,0.0,A173,0.0,A191,A201
A14,0.029411764705882353,A33,A43,0.03752613623858259,A61,A73,0.6666666666666666,A92,A101,0.3333333333333333,A121,0.08928571428571429,A143,A152,0.0,A173,0.0,A191,A201
A12,0.07352941176470588,A34,A42,0.09183448883019699,A61,A74,1.0,A93,A101,0.6666666666666666,A123,0.2857142857142857,A143,A151,0.0,A173,0.0,A192,A201
A14,0.11764705882352941,A32,A41,0.12077693408165512,A65,A72,0.3333333333333333,A94,A101,1.0,A123,0.125,A143,A151,0.0,A173,0.0,A192,A201
A12,0.29411764705882354,A34,A410,0.6431165401122483,A61,A73,0.3333333333333333,A93,A102,0.6666666666666666,A123,0.35714285714285715,A143,A152,0.3333333333333333,A174,1.0,A192,A201
A14,0.20588235294117646,A31,A40,0.34158688235941453,A61,A75,0.3333333333333333,A93,A101,1.0,A124,0.35714285714285715,A141,A152,0.3333333333333333,A174,1.0,A192,A201
A12,0.11764705882352941,A32,A40,0.32067789149334214,A61,A74,0.3333333333333333,A93,A101,0.3333333333333333,A123,0.23214285714285715,A143,A152,0.0,A173,0.0,A191,A201
A11,0.29411764705882354,A32,A42,0.4110817651590184,A65,A72,0.0,A92,A101,0.3333333333333333,A122,0.19642857142857142,A143,A152,0.0,A173,0.0,A192,A202
A12,0.14705882352941177,A32,A49,0.06382744580169473,A63,A75,0.0,A94,A101,0.3333333333333333,A121,0.2857142857142857,A143,A152,0.0,A173,0.0,A192,A201
A12,0.029411764705882353,A33,A49,0.06597336854847584,A62,A75,0.0,A91,A101,0.3333333333333333,A123,0.21428571428571427,A141,A152,0.3333333333333333,A173,1.0,A191,A201
A13,0.16176470588235295,A32,A46,0.007813359744690216,A61,A72,1.0,A92,A101,1.0,A122,0.07142857142857142,A143,A151,0.0,A173,0.0,A192,A201
A12,0.20588235294117646,A32,A40,0.33069219764498736,A61,A74,0.6666666666666666,A93,A101,0.6666666666666666,A121,0.16071428571428573,A143,A151,0.0,A172,0.0,A191,A201
A14,0.47058823529411764,A34,A40,0.4184549356223176,A61,A73,1.0,A92,A101,0.3333333333333333,A121,0.10714285714285714,A142,A152,0.3333333333333333,A173,0.0,A192,A201
A11,0.11764705882352941,A32,A43,0.07868383404864092,A63,A75,0.6666666666666666,A94,A101,0.0,A121,0.2857142857142857,A143,A152,0.0,A173,0.0,A191,A201
A14,0.6470588235294118,A34,A43,0.18311874105865522,A65,A75,1.0,A93,A101,0.0,A121,0.5,A143,A152,0.0,A173,0.0,A192,A201
A11,0.5588235294117647,A32,A43,0.3809838230439089,A65,A74,1.0,A92,A101,0.6666666666666666,A123,0.19642857142857142,A143,A152,0.0,A174,0.0,A192,A201
A11,0.08823529411764706,A34,A42,0.10355452844723231,A65,A72,0.3333333333333333,A92,A102,0.6666666666666666,A121,0.14285714285714285,A143,A151,0.3333333333333333,A173,0.0,A191,A202
A11,0.4264705882352941,A34,A42,0.22180037416088919,A63,A73,0.0,A92,A101,1.0,A123,0.07142857142857142,A143,A152,0.3333333333333333,A173,0.0,A191,A201
A12,0.11764705882352941,A34,A40,0.116430064927919,A63,A74,0.6666666666666666,A91,A101,0.6666666666666666,A123,0.30357142857142855,A143,A152,0.0,A174,0.0,A192,A201
A11,0.25,A32,A43,0.0872125013755915,A61,A73,0.6666666666666666,A92,A101,0.3333333333333333,A121,0.10714285714285714,A143,A152,0.3333333333333333,A173,0.0,A192,A201
A14,0.29411764705882354,A34,A41,0.1990756025090789,A61,A75,1.0,A92,A101,0.3333333333333333,A123,0.39285714285714285,A143,A151,0.3333333333333333,A174,0.0,A192,A201
A14,0.11764705882352941,A32,A42,0.08352591614394189,A61,A73,0.6666666666666666,A93,A101,0.3333333333333333,A121,0.08928571428571429,A143,A151,0.0,A172,0.0,A191,A201
A13,0.08823529411764706,A34,A40,0.0292175635523275,A61,A75,1.0,A93,A101,1.0,A124,0.7857142857142857,A143,A153,0.3333333333333333,A173,0.0,A192,A201
A12,0.20588235294117646,A32,A42,0.09210960713106636,A65,A72,1.0,A92,A101,0.6666666666666666,A121,0.14285714285714285,A143,A151,0.0,A173,0.0,A191,A201
A11,0.11764705882352941,A34,A40,0.10294926818531969,A61,A73,1.0,A93,A101,0.3333333333333333,A122,0.19642857142857142,A143,A152,0.3333333333333333,A173,0.0,A191,A201
A11,0.11764705882352941,A32,A43,0.02481567073841752,A61,A73,1.0,A94,A101,0.3333333333333333,A121,0.375,A143,A152,0.0,A172,0.0,A191,A201
A12,0.11764705882352941,A32,A45,0.021404203807637284,A61,A73,1.0,A93,A101,0.3333333333333333,A123,0.19642857142857142,A143,A152,0.0,A173,0.0,A191,A201
A12,0.11764705882352941,A34,A41,0.08858809287993838,A61,A71,1.0,A93,A101,0.3333333333333333,A123,0.26785714285714285,A143,A152,0.3333333333333333,A174,0.0,A192,A201
A11,0.11764705882352941,A34,A40,0.1787718719049191,A61,A73,0.6666666666666666,A92,A102,0.3333333333333333,A121,0.17857142857142858,A143,A152,0.3333333333333333,A173,0.0,A191,A201
A12,0.6470588235294118,A32,A40,0.45322988885220644,A65,A74,0.0,A92,A101,0.3333333333333333,A123,0.08928571428571429,A143,A152,0.0,A173,0.0,A191,A201
A11,0.47058823529411764,A33,A46,0.36519203257400684,A61,A73,1.0,A93,A101,0.6666666666666666,A122,0.17857142857142858,A142,A152,0.0,A173,0.0,A192,A201
A14,0.16176470588235295,A32,A42,0.1352481567073842,A61,A72,0.3333333333333333,A93,A101,0.6666666666666666,A122,0.14285714285714285,A141,A152,0.3333333333333333,A172,0.0,A191,A201
A14,0.20588235294117646,A32,A42,0.09541102674149884,A61,A73,1.0,A93,A101,1.0,A124,0.5,A141,A153,0.3333333333333333,A173,0.0,A191,A201
A14,0.8235294117647058,A32,A43,0.544404093760317,A62,A74,0.3333333333333333,A92,A101,1.0,A121,0.03571428571428571,A143,A152,0.0,A173,0.0,A192,A201
A14,0.11764705882352941,A34,A43,0.05447342357213602,A65,A75,1.0,A92,A101,0.3333333333333333,A121,0.3392857142857143,A143,A152,0.3333333333333333,A173,0.0,A192,A201
A14,0.3382352941176471,A33,A41,0.46016287003411466,A64,A73,0.3333333333333333,A93,A101,0.3333333333333333,A123,0.14285714285714285,A143,A152,0.3333333333333333,A173,0.0,A191,A201
A12,0.11764705882352941,A32,A43,0.028392208649719378,A63,A73,1.0,A93,A101,0.6666666666666666,A121,0.8392857142857143,A143,A152,0.0,A172,0.0,A191,A201
A12,0.16176470588235295,A34,A43,0.13634862991086166,A65,A74,1.0,A93,A103,0.3333333333333333,A121,0.2857142857142857,A141,A152,0.6666666666666666,A173,0.0,A192,A201
A13,0.11764705882352941,A32,A43,0.08974358974358974,A61,A73,0.3333333333333333,A92,A101,0.3333333333333333,A123,0.44642857142857145,A143,A151,0.0,A172,0.0,A192,A201
A13,0.029411764705882353,A32,A40,0.025255860019808517,A64,A72,0.3333333333333333,A94,A101,0.3333333333333333,A121,0.14285714285714285,A143,A152,0.0,A171,0.0,A191,A202
A12,0.47058823529411764,A32,A43,0.2500825354902608,A61,A72,1.0,A92,A101,0.0,A124,0.19642857142857142,A143,A152,0.0,A174,0.0,A192,A201
A11,0.3382352941176471,A32,A43,0.1742049081104875,A61,A73,0.6666666666666666,A93,A101,0.3333333333333333,A123,0.14285714285714285,A143,A152,0.0,A174,0.0,A191,A201
A11,0.20588235294117646,A32,A42,0.12171233630461098,A61,A73,0.3333333333333333,A93,A101,0.3333333333333333,A123,0.05357142857142857,A143,A152,0.0,A173,0.0,A191,A201
A14,0.25,A34,A42,0.11213821943435677,A61,A72,1.0,A92,A101,1.0,A122,0.07142857142857142,A143,A152,0.0,A173,0.0,A192,A201
A12,0.6470588235294118,A31,A49,0.18245845713656872,A62,A74,1.0,A93,A101,0.3333333333333333,A123,0.19642857142857142,A143,A152,0.0,A173,0.0,A191,A201
A11,0.029411764705882353,A34,A40,0.03356443270606361,A61,A75,0.0,A92,A101,1.0,A124,0.35714285714285715,A143,A152,0.3333333333333333,A173,0.0,A192,A201
A14,0.11764705882352941,A34,A40,0.0237702211951139,A62,A74,1.0,A92,A101,0.6666666666666666,A123,0.5714285714285714,A143,A152,0.3333333333333333,A173,0.0,A192,A201
A11,0.47058823529411764,A34,A42,0.2817761637504127,A61,A73,0.6666666666666666,A93,A103,0.3333333333333333,A122,0.16071428571428573,A143,A152,0.3333333333333333,A173,0.0,A191,A201
A14,0.20588235294117646,A34,A43,0.0732915153516012,A64,A75,1.0,A93,A101,1.0,A123,0.48214285714285715,A143,A152,0.3333333333333333,A173,0.0,A191,A201
A14,0.029411764705882353,A32,A43,0.060305931550566745,A62,A75,0.3333333333333333,A93,A101,1.0,A124,0.4107142857142857,A141,A153,0.0,A173,1.0,A192,A201
A14,0.08823529411764706,A32,A43,0.09210960713106636,A61,A73,0.0,A93,A101,1.0,A122,0.3392857142857143,A143,A152,0.0,A173,0.0,A192,A202
A13,0.47058823529411764,A32,A43,0.30802244965335096,A61,A73,1.0,A93,A101,0.0,A123,0.08928571428571429,A143,A152,0.0,A173,0.0,A191,A201
A12,0.29411764705882354,A34,A41,0.41311764058545175,A64,A75,0.3333333333333333,A92,A101,1.0,A124,0.17857142857142858,A143,A151,0.0,A173,0.0,A191,A201
A12,0.29411764705882354,A33,A49,0.3695939253879168,A62,A74,1.0,A93,A101,1.0,A123,0.30357142857142855,A143,A151,0.0,A174,0.0,A192,A201
A11,0.11764705882352941,A32,A42,0.056784417299438755,A61,A73,0.3333333333333333,A92,A101,1.0,A123,0.017857142857142856,A143,A151,0.0,A173,0.0,A191,A201
A11,0.07352941176470588,A34,A45,0.057114559260482006,A62,A75,0.6666666666666666,A93,A103,1.0,A121,0.5178571428571429,A143,A152,0.3333333333333333,A173,1.0,A191,A202
